name,date,hour,count
vernon-sb,2020-12-12,5,0
vernon-nb,2020-12-12,6,1
vernon-sb,2020-12-12,6,2
vernon-nb,2020-12-12,7,0
vernon-sb,2020-12-12,7,1
vernon-nb,2020-12-12,8,0
vernon-sb,2020-12-12,8,1
vernon-nb,2020-12-12,9,2
vernon-sb,2020-12-12,9,2
vernon-nb,2020-12-13,0,0
vernon-sb,2020-12-13,0,0
vernon-nb,2020-12-13,1,0
vernon-sb,2020-12-13,1,0
vernon-nb,2020-12-13,10,2
vernon-sb,2020-12-13,10,6
vernon-nb,2020-12-13,11,2
vernon-sb,2020-12-13,11,6
vernon-nb,2020-12-13,12,2
vernon-sb,2020-12-13,12,2
vernon-sb,2020-12-13,13,3
vernon-nb,2020-12-13,13,5
vernon-nb,2020-12-13,14,3
vernon-sb,2020-12-13,14,4
vernon-sb,2020-12-13,15,0
vernon-nb,2020-12-13,15,2
vernon-nb,2020-12-13,16,3
vernon-sb,2020-12-13,16,8
vernon-nb,2020-12-13,17,2
vernon-sb,2020-12-13,17,2
vernon-sb,2020-12-13,18,1
vernon-nb,2020-12-13,18,3
vernon-sb,2020-12-13,19,2
vernon-nb,2020-12-13,19,3
vernon-sb,2020-12-13,2,1
vernon-nb,2020-12-13,2,2
vernon-sb,2020-12-13,20,1
vernon-nb,2020-12-13,20,3
vernon-nb,2020-12-13,21,1
vernon-sb,2020-12-13,21,2
vernon-nb,2020-12-13,22,1
vernon-sb,2020-12-13,22,2
vernon-nb,2020-12-13,23,0
vernon-sb,2020-12-13,23,0
vernon-nb,2020-12-13,3,0
vernon-sb,2020-12-13,3,0
vernon-nb,2020-12-13,4,0
vernon-sb,2020-12-13,4,0
vernon-nb,2020-12-13,5,0
vernon-sb,2020-12-13,5,0
vernon-nb,2020-12-13,6,0
vernon-sb,2020-12-13,6,0
vernon-nb,2020-12-13,7,0
vernon-sb,2020-12-13,7,0
vernon-nb,2020-12-13,8,0
vernon-sb,2020-12-13,8,0
vernon-sb,2020-12-13,9,0
vernon-nb,2020-12-13,9,1
vernon-nb,2020-12-14,0,0
vernon-sb,2020-12-14,0,0
vernon-sb,2020-12-14,1,0
vernon-nb,2020-12-14,1,1
vernon-nb,2020-12-14,10,4
vernon-sb,2020-12-14,10,6
vernon-nb,2020-12-14,11,3
vernon-sb,2020-12-14,11,3
vernon-sb,2020-12-14,12,6
vernon-nb,2020-12-14,12,8
vernon-nb,2020-12-14,13,3
vernon-sb,2020-12-14,13,4
vernon-nb,2020-12-14,14,2
vernon-sb,2020-12-14,14,4
vernon-nb,2020-12-14,15,6
vernon-sb,2020-12-14,15,6
vernon-nb,2020-12-14,16,14
vernon-sb,2020-12-14,16,5
vernon-sb,2020-12-14,17,3
vernon-nb,2020-12-14,17,9
vernon-nb,2020-12-14,18,1
vernon-sb,2020-12-14,18,3
vernon-sb,2020-12-14,19,0
vernon-nb,2020-12-14,19,4
vernon-nb,2020-12-14,2,0
vernon-sb,2020-12-14,2,0
vernon-nb,2020-12-14,20,1
vernon-sb,2020-12-14,20,1
vernon-sb,2020-12-14,21,0
vernon-nb,2020-12-14,21,1
vernon-sb,2020-12-14,22,0
vernon-nb,2020-12-14,22,1
vernon-sb,2020-12-14,23,0
vernon-nb,2020-12-14,23,3
vernon-nb,2020-12-14,3,0
vernon-sb,2020-12-14,3,0
vernon-nb,2020-12-14,4,0
vernon-sb,2020-12-14,4,0
vernon-nb,2020-12-14,5,0
vernon-sb,2020-12-14,5,0
vernon-nb,2020-12-14,6,0
vernon-sb,2020-12-14,6,5
vernon-nb,2020-12-14,7,0
vernon-sb,2020-12-14,7,7
vernon-sb,2020-12-14,8,13
vernon-nb,2020-12-14,8,2
vernon-sb,2020-12-14,9,4
vernon-nb,2020-12-14,9,6
vernon-nb,2020-12-15,0,0
vernon-sb,2020-12-15,0,0
vernon-sb,2020-12-15,1,0
vernon-nb,2020-12-15,1,1
vernon-sb,2020-12-15,10,3
vernon-nb,2020-12-15,10,5
vernon-nb,2020-12-15,11,2
vernon-sb,2020-12-15,11,2
vernon-nb,2020-12-15,12,2
vernon-sb,2020-12-15,12,3
vernon-nb,2020-12-15,13,1
vernon-sb,2020-12-15,13,3
vernon-nb,2020-12-15,14,2
vernon-sb,2020-12-15,14,5
vernon-sb,2020-12-15,15,4
vernon-nb,2020-12-15,15,9
vernon-sb,2020-12-15,16,3
vernon-nb,2020-12-15,16,8
vernon-sb,2020-12-15,17,2
vernon-nb,2020-12-15,17,4
vernon-sb,2020-12-15,18,3
vernon-nb,2020-12-15,18,7
vernon-sb,2020-12-15,19,0
vernon-nb,2020-12-15,19,2
vernon-nb,2020-12-15,2,0
vernon-sb,2020-12-15,2,0
vernon-nb,2020-12-15,20,2
vernon-sb,2020-12-15,20,2
vernon-nb,2020-12-15,21,1
vernon-sb,2020-12-15,21,3
vernon-nb,2020-12-15,22,0
vernon-sb,2020-12-15,22,1
vernon-sb,2020-12-15,23,1
vernon-nb,2020-12-15,23,3
vernon-nb,2020-12-15,3,0
