name,date,hour,count
windsor-sb,2020-12-12,5,0
windsor-nb,2020-12-12,6,0
windsor-sb,2020-12-12,6,0
windsor-nb,2020-12-12,7,0
windsor-sb,2020-12-12,7,2
windsor-sb,2020-12-12,8,2
windsor-nb,2020-12-12,8,3
windsor-nb,2020-12-12,9,1
windsor-sb,2020-12-12,9,1
windsor-nb,2020-12-13,0,0
windsor-sb,2020-12-13,0,0
windsor-nb,2020-12-13,1,0
windsor-sb,2020-12-13,1,0
windsor-nb,2020-12-13,10,0
windsor-sb,2020-12-13,10,0
windsor-sb,2020-12-13,11,1
windsor-nb,2020-12-13,11,2
windsor-nb,2020-12-13,12,0
windsor-sb,2020-12-13,12,0
windsor-sb,2020-12-13,13,0
windsor-nb,2020-12-13,13,1
windsor-nb,2020-12-13,14,2
windsor-sb,2020-12-13,14,2
windsor-sb,2020-12-13,15,0
windsor-nb,2020-12-13,15,2
windsor-nb,2020-12-13,16,1
windsor-sb,2020-12-13,16,1
windsor-nb,2020-12-13,17,0
windsor-sb,2020-12-13,17,1
windsor-sb,2020-12-13,18,0
windsor-nb,2020-12-13,18,1
windsor-sb,2020-12-13,19,0
windsor-nb,2020-12-13,19,1
windsor-nb,2020-12-13,2,0
windsor-sb,2020-12-13,2,0
windsor-nb,2020-12-13,20,0
windsor-sb,2020-12-13,20,0
windsor-sb,2020-12-13,21,0
windsor-nb,2020-12-13,21,1
windsor-nb,2020-12-13,22,0
windsor-sb,2020-12-13,22,0
windsor-sb,2020-12-13,23,0
windsor-nb,2020-12-13,23,1
windsor-nb,2020-12-13,3,0
windsor-sb,2020-12-13,3,0
windsor-nb,2020-12-13,4,0
windsor-sb,2020-12-13,4,0
windsor-nb,2020-12-13,5,0
windsor-sb,2020-12-13,5,0
windsor-nb,2020-12-13,6,0
windsor-sb,2020-12-13,6,0
windsor-nb,2020-12-13,7,0
windsor-sb,2020-12-13,7,0
windsor-sb,2020-12-13,8,0
windsor-nb,2020-12-13,8,1
windsor-sb,2020-12-13,9,0
windsor-nb,2020-12-13,9,1
windsor-nb,2020-12-14,0,0
windsor-sb,2020-12-14,0,0
windsor-nb,2020-12-14,1,0
windsor-sb,2020-12-14,1,0
windsor-nb,2020-12-14,10,2
windsor-sb,2020-12-14,10,5
windsor-sb,2020-12-14,11,0
windsor-nb,2020-12-14,11,2
windsor-nb,2020-12-14,12,3
windsor-sb,2020-12-14,12,4
windsor-nb,2020-12-14,13,2
windsor-sb,2020-12-14,13,2
windsor-sb,2020-12-14,14,0
windsor-nb,2020-12-14,14,2
windsor-sb,2020-12-14,15,1
windsor-nb,2020-12-14,15,4
windsor-sb,2020-12-14,16,1
windsor-nb,2020-12-14,16,5
windsor-sb,2020-12-14,17,0
windsor-nb,2020-12-14,17,5
windsor-nb,2020-12-14,18,1
windsor-sb,2020-12-14,18,2
windsor-sb,2020-12-14,19,0
windsor-nb,2020-12-14,19,2
windsor-nb,2020-12-14,2,0
windsor-sb,2020-12-14,2,0
windsor-nb,2020-12-14,20,0
windsor-sb,2020-12-14,20,0
windsor-nb,2020-12-14,21,0
windsor-sb,2020-12-14,21,0
windsor-nb,2020-12-14,22,1
windsor-sb,2020-12-14,22,1
windsor-nb,2020-12-14,23,0
windsor-sb,2020-12-14,23,0
windsor-nb,2020-12-14,3,0
