name,date,hour,count
agricola-sb,2016-10-09,11,11
agricola-sb,2016-10-09,12,12
agricola-sb,2016-10-09,13,7
agricola-sb,2016-10-09,14,8
agricola-sb,2016-10-09,15,9
agricola-sb,2016-10-09,16,4
agricola-sb,2016-10-09,17,6
agricola-sb,2016-10-09,18,8
agricola-sb,2016-10-09,19,3
agricola-sb,2016-10-09,20,3
agricola-sb,2016-10-09,21,1
agricola-sb,2016-10-09,22,0
agricola-sb,2016-10-09,23,1
agricola-sb,2016-10-10,0,0
agricola-sb,2016-10-10,1,0
agricola-sb,2016-10-10,2,0
agricola-sb,2016-10-10,3,0
agricola-sb,2016-10-10,4,0
agricola-sb,2016-10-10,5,0
agricola-sb,2016-10-10,6,0
agricola-sb,2016-10-10,7,0
agricola-sb,2016-10-10,8,1
agricola-sb,2016-10-10,9,1
agricola-sb,2016-10-10,10,1
agricola-sb,2016-10-10,11,0
agricola-sb,2016-10-10,12,2
agricola-sb,2016-10-10,13,0
agricola-sb,2016-10-10,14,2
agricola-sb,2016-10-10,15,1
agricola-sb,2016-10-10,16,2
agricola-sb,2016-10-10,17,1
agricola-sb,2016-10-10,18,0
agricola-sb,2016-10-10,19,1
agricola-sb,2016-10-10,20,3
agricola-sb,2016-10-10,21,0
agricola-sb,2016-10-10,22,1
agricola-sb,2016-10-10,23,0
agricola-sb,2016-10-11,0,0
agricola-sb,2016-10-11,1,0
agricola-sb,2016-10-11,2,0
agricola-sb,2016-10-11,3,0
agricola-sb,2016-10-11,4,0
agricola-sb,2016-10-11,5,0
agricola-sb,2016-10-11,6,1
agricola-sb,2016-10-11,7,14
agricola-sb,2016-10-11,8,43
agricola-sb,2016-10-11,9,14
agricola-sb,2016-10-11,10,15
agricola-sb,2016-10-11,11,7
agricola-sb,2016-10-11,12,20
agricola-sb,2016-10-11,13,8
agricola-sb,2016-10-11,14,10
agricola-sb,2016-10-11,15,5
agricola-sb,2016-10-11,16,12
agricola-sb,2016-10-11,17,9
agricola-sb,2016-10-11,18,14
agricola-sb,2016-10-11,19,5
agricola-sb,2016-10-11,20,6
agricola-sb,2016-10-11,21,5
agricola-sb,2016-10-11,22,2
agricola-sb,2016-10-11,23,3
agricola-sb,2016-10-12,0,0
agricola-sb,2016-10-12,1,1
agricola-sb,2016-10-12,2,0
agricola-sb,2016-10-12,3,0
agricola-sb,2016-10-12,4,1
agricola-sb,2016-10-12,5,1
agricola-sb,2016-10-12,6,6
agricola-sb,2016-10-12,7,16
agricola-sb,2016-10-12,8,49
agricola-sb,2016-10-12,9,32
agricola-sb,2016-10-12,10,14
agricola-sb,2016-10-12,11,6
agricola-sb,2016-10-12,12,8
agricola-sb,2016-10-12,13,12
agricola-sb,2016-10-12,14,11
agricola-sb,2016-10-12,15,14
agricola-sb,2016-10-12,16,12
agricola-sb,2016-10-12,17,24
agricola-sb,2016-10-12,18,18
agricola-sb,2016-10-12,19,10
agricola-sb,2016-10-12,20,6
agricola-sb,2016-10-12,21,7
agricola-sb,2016-10-12,22,2
agricola-sb,2016-10-12,23,4
agricola-sb,2016-10-13,0,0
agricola-sb,2016-10-13,1,0
agricola-sb,2016-10-13,2,0
agricola-sb,2016-10-13,3,1
agricola-sb,2016-10-13,4,1
agricola-sb,2016-10-13,5,0
agricola-sb,2016-10-13,6,10
agricola-sb,2016-10-13,7,23
agricola-sb,2016-10-13,8,51
agricola-sb,2016-10-13,9,35
agricola-sb,2016-10-13,10,14
agricola-sb,2016-10-13,11,7
agricola-sb,2016-10-13,12,12
agricola-sb,2016-10-13,13,20
agricola-sb,2016-10-13,14,21
agricola-sb,2016-10-13,15,7
agricola-sb,2016-10-13,16,12
agricola-sb,2016-10-13,17,14
agricola-sb,2016-10-13,18,19
agricola-sb,2016-10-13,19,12
agricola-sb,2016-10-13,20,7
agricola-sb,2016-10-13,21,5
agricola-sb,2016-10-13,22,1
agricola-sb,2016-10-13,23,2
agricola-sb,2016-10-14,0,1
agricola-sb,2016-10-14,1,1
agricola-sb,2016-10-14,2,0
agricola-sb,2016-10-14,3,1
agricola-sb,2016-10-14,4,0
agricola-sb,2016-10-14,5,0
agricola-sb,2016-10-14,6,8
agricola-sb,2016-10-14,7,18
